SpireGroupInc.com webpages to index in Search.google.com.search-console,,,,,
#,Section,URL,Indexed,www URL,Indexed
1,Main Pages,https://spiregroupinc.com/,2026_03_23,https://www.spiregroupinc.com/,
2,Main Pages,https://spiregroupinc.com/what-we-build.html,2026_03_23,https://www.spiregroupinc.com/what-we-build.html,
3,Main Pages,https://spiregroupinc.com/case-study.html,2026_03_23,https://www.spiregroupinc.com/case-study.html,
4,Main Pages,https://spiregroupinc.com/stack.html,2026_03_23,https://www.spiregroupinc.com/stack.html,
5,Main Pages,https://spiregroupinc.com/credentials.html,2026_03_23,https://www.spiregroupinc.com/credentials.html,
6,Main Pages,https://spiregroupinc.com/about.html,2026_03_23,https://www.spiregroupinc.com/about.html,
7,Main Pages,https://spiregroupinc.com/contact.html,2026_03_23,https://www.spiregroupinc.com/contact.html,
8,Legal,https://spiregroupinc.com/terms.html,2026_03_23,https://www.spiregroupinc.com/terms.html,
9,Legal,https://spiregroupinc.com/privacy.html,2026_03_23,https://www.spiregroupinc.com/privacy.html,
10,Blog,https://spiregroupinc.com/blog/,2026_03_23,https://www.spiregroupinc.com/blog/,
11,Blog,https://spiregroupinc.com/blog/ai-in-aesthetic-medicine.html,2026_03_23,https://www.spiregroupinc.com/blog/ai-in-aesthetic-medicine.html,
12,Blog,https://spiregroupinc.com/blog/build-vs-buy-medspa-software.html,,https://www.spiregroupinc.com/blog/build-vs-buy-medspa-software.html,
13,Blog,https://spiregroupinc.com/blog/what-hipaa-means-for-your-aesthetic-platform.html,,https://www.spiregroupinc.com/blog/what-hipaa-means-for-your-aesthetic-platform.html,
14,Blog,https://spiregroupinc.com/blog/autonomous-marketing-aesthetic-practice.html,,https://www.spiregroupinc.com/blog/autonomous-marketing-aesthetic-practice.html,
15,Blog,https://spiregroupinc.com/blog/mobile-aesthetic-practice-technology.html,,https://www.spiregroupinc.com/blog/mobile-aesthetic-practice-technology.html,
16,Blog,https://spiregroupinc.com/blog/provider-credentialing-automation.html,,https://www.spiregroupinc.com/blog/provider-credentialing-automation.html,
17,Blog,https://spiregroupinc.com/blog/ehr-soap-notes-aesthetic-medicine.html,,https://www.spiregroupinc.com/blog/ehr-soap-notes-aesthetic-medicine.html,
18,Blog,https://spiregroupinc.com/blog/saas-membership-models-aesthetic-practice.html,,https://www.spiregroupinc.com/blog/saas-membership-models-aesthetic-practice.html,
19,Blog,https://spiregroupinc.com/blog/proprietary-healthcare-llm-aesthetic-medicine.html,,https://www.spiregroupinc.com/blog/proprietary-healthcare-llm-aesthetic-medicine.html,
20,Not Indexed,https://spiregroupinc.com/404.html,---,(serves automatically for bad URLs),---
21,Password Protected,https://spiregroupinc.com/deck/,---,(password: Toyota2026),---
22,Password Protected,https://spiregroupinc.com/deck/agents.html,---,,
23,Password Protected,https://spiregroupinc.com/deck/systems.html,---,,
24,Password Protected,https://spiregroupinc.com/deck/architecture.html,---,,
25,Password Protected,https://spiregroupinc.com/deck/timeline.html,---,,
